"ASV","Comparison","log2FoldChange","padj","Enriched_in","Domain","Phylum","Class","Order","Family","Genus","Species"
"68b85322b15f20338f6c0d94e70cb7e9","FERM vs WO1",1.55145133629626,0.00222058926029519,"FERM","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Catenisphaera",NA
"280eb3235f12cb0fb8707007b7954d55","FERM vs WO1",-3.89511223484472,1.02245745435982e-14,"WO1","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella",NA
"4228e14eabb4efac5e01db0a711d9c55","FERM vs WO1",1.48305021203479,0.00346863485953603,"FERM","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella",NA
"eaae31c51ae65482e573dfbf90d7f89a","FERM vs WO1",-1.09274893646614,0.0323249450240305,"WO1","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella",NA
"56b61b7a91af3ead8aa36a4cf61724f9","FERM vs WO1",-1.46181059945888,0.00215402985614264,"WO1","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Coprobacillus",NA
"249d454b13154d9ae9d6e52358a0f2ef","FERM vs WO1",-4.45754036766993,4.99514855715022e-20,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Romboutsia",NA
"f9b87c8f7a792d317365f3412cb54cd9","FERM vs WO1",-1.43860478021603,0.00234107944609061,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Romboutsia",NA
"07340fc4f24fd8f85fa12cc09e548c88","FERM vs WO1",-1.55338450533005,0.00129291020676643,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Intestinibacter",NA
"945ba6f64150e765d2c374be5998ce07","FERM vs WO1",1.08219244392598,0.0316694095791804,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Tyzzerella",NA
"a1f74bd479f229b0c79da009b3d67d17","FERM vs WO1",1.76197135061939,0.0011881357834899,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia_UCG-014","f__Incertae_Sedis","g__Incertae_Sedis",NA
"99f7da01b80c19c0e0d1b6e4043852da","FERM vs WO1",1.01575426838691,0.032553107421596,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia_UCG-014","f__Incertae_Sedis","g__Incertae_Sedis",NA
"e4233d81e6e316b9303460a3da122782","FERM vs WO1",1.01360141019429,0.0483738134562794,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__UCG-010","g__Incertae_Sedis",NA
"70d4378622000c2791b218e0a4bee1c0","FERM vs WO1",1.79234238913238,0.00650709837984647,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002",NA
"b73b8200705cb907a6275f7c535ea2bb","FERM vs WO1",1.54081147577281,0.0162353799967468,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA
"f2dd26c7557112219a91644d4a751b53","FERM vs WO1",2.10818133156327,0.00332672951209733,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA
