"ASV","Comparison","log2FoldChange","padj","Enriched_in","Domain","Phylum","Class","Order","Family","Genus","Species"
"0bda657c0d316a74aab0eb6100a8181a","VEG vs FERM",-1.53122278282408,0.0031366753195982,"VEG","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella",NA
"615a01ab85c2379413845b2879c10a30","VEG vs FERM",-1.51680877435899,0.00548478489139573,"VEG","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA
"daa042970b0b21981baee8000836cd56","VEG vs FERM",-1.49539526314922,0.00548478489139573,"VEG","d__Bacteria","p__Thermodesulfobacteriota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio",NA
"76903c7d4f9086f98a6d334f6f8f2d77","WO1 vs FERM",3.76226820471649,1.80740032184754e-11,"FERM","d__Bacteria","p__Cyanobacteriota","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae",NA,NA
"7669279b37ba949e1ebb9a785bcdcd3f","WO1 vs FERM",2.49293173115963,2.3401157726453e-05,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio",NA
"f2dd26c7557112219a91644d4a751b53","WO1 vs FERM",2.10818133156327,0.00332672951209733,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA
"31760b17e6d0bd30b881d7b3958812b9","WO1 vs FERM",2.10520067709148,3.44720428337028e-05,"FERM","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Incertae_Sedis",NA
"86856c111afcc1bc7dbcbbad372df50d","WO1 vs FERM",1.8910690212076,0.00011755711322718,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Bacteroides]_pectinophilus_group",NA
"70d4378622000c2791b218e0a4bee1c0","WO1 vs FERM",1.79234238913238,0.00650709837984647,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002",NA
"a1f74bd479f229b0c79da009b3d67d17","WO1 vs FERM",1.76197135061939,0.0011881357834899,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia_UCG-014","f__Incertae_Sedis","g__Incertae_Sedis",NA
"98d28ee1ef8b0548acbbf7922f1cb1da","WO1 vs FERM",1.72432865858652,0.0106005444066517,"FERM","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"8f9454637e7bc77c046cf213e7adf3c4","WO1 vs FERM",1.70305916142218,0.000537583430341148,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA
"ea14fdca2a53fb4e7ba30f41ac288515","WO1 vs FERM",1.63763069683086,1.86718354877238e-05,"FERM","d__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Weizmannia",NA
"68d57be56fd6e12a28bad69cc3f4a45d","WO1 vs FERM",-7.29419585777047,2.54473365727391e-99,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA
"6d11026babbcd9f978ab80a6226ba959","WO1 vs FERM",-6.74942685691418,7.20576982672336e-52,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"bb7ef5ea354035f7874026906c86773b","WO1 vs FERM",-6.31621312859049,2.28824878979986e-59,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA
"4f17c6758a51ab194aef089e1e3e1767","WO1 vs FERM",-6.26449247730626,1.61653211587054e-41,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA
"0dae804b45b15d08bcf254587ab47d32","WO1 vs FERM",-6.26147560044571,5.35580401522923e-45,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Fusicatenibacter",NA
"a3fb31c18a839a033169852829d51047","WO1 vs FERM",-5.48211860718869,4.40320977291468e-23,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"4c6b43eac040f76ac550f21b5f1cf239","WO1 vs FERM",-5.40102520520166,2.38057519822698e-26,"WO1","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"bf1fbce01d61c15620b5cd5f700701fe","WO1 vs FERM",-5.35809038141089,6.91851746980108e-29,"WO1","d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella",NA
"6087fea04b15aba47e88558b56a45b47","WO1 vs FERM",-5.33796395582517,1.46241394142007e-24,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae",NA,NA
"6f41de405f9e4b1b20b3c83585bd7910","WO1 vs FERM",-5.14804964334949,6.29743992505744e-28,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA
