"taxon","SE","df","lower.CL","upper.CL","Family","Genus","taxon_label","Subset","Base","VEG","WO1","FERM","WO2","change","direction"
"42d0fe0faa65739030e8eb3862ea04ea",0.212075957967644,132,-8.33572262947778,-7.49670821576629,"f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis","f__[Eubacterium]_coprostanoligenes_group_g__Incertae_Sedis_42d0fe0faa65739030e8eb3862ea04ea","Fermented",NA,NA,NA,NA,-7.91621542262203,NA,NA
"45ee5b81bf88a9fc2733d1252dc3d57b",0.190006761910739,132.000000000002,-7.96296621290439,-7.21126190151761,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_45ee5b81bf88a9fc2733d1252dc3d57b","Fermented",-7.587114057211,NA,NA,NA,NA,NA,NA
"45ee5b81bf88a9fc2733d1252dc3d57b",0.190006761910739,132,-8.29206757831542,-7.54036326692865,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_45ee5b81bf88a9fc2733d1252dc3d57b","Fermented",NA,NA,NA,-7.91621542262203,-7.91621542262203,NA,NA
"4b4bbd91857cd3f701e533d597d9f3d1",0.309013489817397,113.109832609811,-8.18665016430354,-6.96224011770591,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_4b4bbd91857cd3f701e533d597d9f3d1","Fermented",-7.57444514100473,NA,NA,NA,NA,NA,NA
"4b4bbd91857cd3f701e533d597d9f3d1",0.309013489817397,113.109832609811,-8.52842044592083,-7.30401039932321,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_4b4bbd91857cd3f701e533d597d9f3d1","Fermented",NA,NA,NA,-7.91621542262202,NA,NA,NA
"4b4bbd91857cd3f701e533d597d9f3d1",0.309013489817397,113.109832609811,-7.94539052495098,-6.72098047835335,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_4b4bbd91857cd3f701e533d597d9f3d1","Fermented",NA,NA,NA,NA,-7.33318550165216,NA,NA
"5205354e82ced48cac3af4240a990f17",0.188304793833236,132.000000000001,-7.96254744700438,-7.21757645778381,"f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis","f__[Eubacterium]_coprostanoligenes_group_g__Incertae_Sedis_5205354e82ced48cac3af4240a990f17","Fermented",-7.59006195239409,NA,NA,NA,NA,NA,NA
"5205354e82ced48cac3af4240a990f17",0.188304793833236,132,-8.28870091723232,-7.54372992801175,"f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis","f__[Eubacterium]_coprostanoligenes_group_g__Incertae_Sedis_5205354e82ced48cac3af4240a990f17","Fermented",NA,NA,NA,-7.91621542262203,NA,NA,NA
"5205354e82ced48cac3af4240a990f17",0.188304793833236,132,-8.28870091723232,-7.54372992801175,"f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis","f__[Eubacterium]_coprostanoligenes_group_g__Incertae_Sedis_5205354e82ced48cac3af4240a990f17","Fermented",NA,NA,NA,NA,-7.91621542262203,NA,NA
"56b61b7a91af3ead8aa36a4cf61724f9",0.44957257400941,131.519789078714,-7.6202067293798,-5.84154867550506,"f__Erysipelatoclostridiaceae","g__Coprobacillus","f__Erysipelatoclostridiaceae_g__Coprobacillus_56b61b7a91af3ead8aa36a4cf61724f9","Fermented",-6.73087770244243,NA,NA,NA,NA,NA,NA
