"Taxon","Comparison","log2FoldChange","padj","Enriched_in"
"0884f906d395c2d5aec4e6ca3b196924","VEG vs Base",-1.34290816458403,0.0172372118505496,"Base"
"873a7f94ccffbc259f39407a63b9b6f1","VEG vs Base",-1.78968049940016,0.0155616594853057,"Base"
"7b9c78a06049f7f35f0257ad264e2853","VEG vs Base",-1.12296867277835,0.0300488316054282,"Base"
"d8d2580c1607d3ac54518137c255c3d5","VEG vs Base",-1.26197061674722,0.0173318827025137,"Base"
"310029114ff6f3a06342087a78e7557d","VEG vs Base",1.22537639226591,0.0197430521128449,"VEG"
"fce2ef6935867b9f2c83468a5fefe917","VEG vs Base",1.66672051440419,0.000967859308728775,"VEG"
"3bca869f393274ffb31e6bfc9b54b129","VEG vs Base",1.9265539784919,0.0023450465930394,"VEG"
"1b195af01eb4c3f09bb9bce481d5fb30","VEG vs Base",-1.26792483001323,0.0395203868100234,"Base"
"e2af01f774d740d5f2f86ee4b594803f","VEG vs Base",1.69441529017242,0.00090741333531797,"VEG"
"d6b2b12fd1d58e896e8035a2d5d88a61","FERM vs WO1",1.29593617173104,0.0071533511187992,"FERM"
"0c0cbd41adf4f6144600a3afe6f7382b","FERM vs WO1",1.12312170527646,0.00418125355430689,"FERM"
"cf03f77eac6572aa59d731c43f81e8db","FERM vs WO1",1.36665263068395,0.000197591451351339,"FERM"
"85dddd2f4c331738f28161b37ea20db2","FERM vs WO1",1.46572465503324,0.0397547110070086,"FERM"
"dfb6c37c7d34ae94546f732620a6d652","FERM vs WO1",-3.9505903813822,3.14734344360049e-14,"WO1"
"decd04ec1f787ceadd753cc0831d33dd","FERM vs WO1",-4.0163512985683,1.06041392137611e-16,"WO1"
"5c2c5d210a84e745da4491cdc27d9a9e","FERM vs WO1",-1.23324330505657,0.0160928032854189,"WO1"
"ea14fdca2a53fb4e7ba30f41ac288515","FERM vs WO1",1.63763069683086,1.86718354877238e-05,"FERM"
"a721bc4969806bb221cdc5111b634e5b","FERM vs WO1",1.42017682242186,0.00526742411045879,"FERM"
"dbba109394e39fa40889e3e55f3bc151","FERM vs WO1",1.59693607845946,0.00111617872724532,"FERM"
"bf1fbce01d61c15620b5cd5f700701fe","FERM vs WO1",-5.35809038141089,6.91851746980108e-29,"WO1"
"76903c7d4f9086f98a6d334f6f8f2d77","FERM vs WO1",3.76226820471649,1.80740032184754e-11,"FERM"
"91d4851da9d44068415f3c834c0fe5f1","FERM vs WO1",1.40752381819336,0.0114021900057084,"FERM"
"52f625165c1aab4e110dc7b2143eab0a","FERM vs WO1",-2.31565712211412,1.62157087584101e-06,"WO1"
"ba76f9031d6a761eb9945026f6fdf30d","FERM vs WO1",-4.11119866166004,6.05527974548118e-19,"WO1"
"46327604290564aec24ca41c36bd9368","FERM vs WO1",-3.42476890583631,6.77262623210541e-12,"WO1"
"1a2a3f5db7f443446c740ee496638067","FERM vs WO1",-1.45969607721588,0.00308283518411025,"WO1"
"eeb60a4f65b36c8887ec3ef730e989f4","FERM vs WO1",1.31598974521027,0.0032084932111953,"FERM"
"68b85322b15f20338f6c0d94e70cb7e9","FERM vs WO1",1.55145133629626,0.00222058926029519,"FERM"
"280eb3235f12cb0fb8707007b7954d55","FERM vs WO1",-3.89511223484472,1.02245745435982e-14,"WO1"
"4228e14eabb4efac5e01db0a711d9c55","FERM vs WO1",1.48305021203479,0.00346863485953603,"FERM"
"eaae31c51ae65482e573dfbf90d7f89a","FERM vs WO1",-1.09274893646614,0.0323249450240305,"WO1"
"56b61b7a91af3ead8aa36a4cf61724f9","FERM vs WO1",-1.46181059945888,0.00215402985614264,"WO1"
"249d454b13154d9ae9d6e52358a0f2ef","FERM vs WO1",-4.45754036766993,4.99514855715022e-20,"WO1"
"f9b87c8f7a792d317365f3412cb54cd9","FERM vs WO1",-1.43860478021603,0.00234107944609061,"WO1"
